Date,Open,High,Low,Close,Adj Close,Volume,Label
12/29/20,218.300003,221.679993,215.399994,216.25,216.25,14593800,211.630005
12/30/20,216.360001,218.550003,214.369995,216.669998,216.669998,10812600,211.029999
12/31/20,216.240005,216.899994,212.699997,214.059998,214.059998,10487600,212.710007
1/4/21,210,210.199997,202.490005,202.720001,202.720001,21225600,209.899994
1/5/21,204.740005,213.350006,204.600006,211.630005,211.630005,19338300,206.789993
1/6/21,210.220001,215.610001,209.339996,211.029999,211.029999,16202200,208.410004
1/7/21,213.389999,216.600006,211.779999,212.710007,212.710007,14474100,207.210007
1/8/21,213.610001,214.100006,208.160004,209.899994,209.899994,14144000,209.910004
1/11/21,203.029999,207.779999,201.009995,206.789993,206.789993,16789300,204.320007
1/12/21,206.649994,209.059998,204.809998,208.410004,208.410004,12836200,210.710007
1/13/21,207.149994,208.789993,204.850006,207.210007,207.210007,8570500,211.449997
1/14/21,208.789993,214.190002,208.210007,209.910004,209.910004,12446800,207.410004
1/15/21,208.960007,209.25,204.199997,204.320007,204.320007,11103300,205.839996
1/19/21,206.990005,211.520004,206.520004,210.710007,210.710007,11947200,203.360001
1/20/21,213.240005,215.589996,211.210007,211.449997,211.449997,9727000,202.059998
1/21/21,211.720001,211.929993,206.339996,207.410004,207.410004,11119800,194.029999
1/22/21,205.550003,206.699997,204.270004,205.839996,205.839996,7514600,197.229996
1/25/21,203.270004,203.800003,199.300003,203.360001,203.360001,14276200,194.190002
1/26/21,205.339996,208.350006,201.789993,202.059998,202.059998,11011800,195.839996
1/27/21,196.899994,199.470001,191.850006,194.029999,194.029999,20948500,200.940002
1/28/21,198.050003,200.419998,196,197.229996,197.229996,10403200,207.389999
1/29/21,198.300003,201.570007,193.119995,194.190002,194.190002,13655600,210.639999
2/1/21,196,197.380005,192.860001,195.839996,195.839996,9061900,207.929993
2/2/21,198.979996,203.029999,198.089996,200.940002,200.940002,11130600,211.949997
2/3/21,202,208.160004,201.259995,207.389999,207.389999,11836900,215.119995
2/4/21,209.869995,212.479996,208.020004,210.639999,210.639999,11869900,211.919998
2/5/21,212.25,213.199997,206.660004,207.929993,207.929993,9528900,210.660004
2/8/21,209.550003,211.990005,208.300003,211.949997,211.949997,11182100,210.979996
2/9/21,210.600006,216.729996,208.899994,215.119995,215.119995,13615700,217.179993
2/10/21,215.649994,217.490005,211.119995,211.919998,211.919998,11510700,215.520004
2/11/21,212.240005,213.990005,208.570007,210.660004,210.660004,7096800,208.479996
2/12/21,210.360001,213.160004,209.669998,210.979996,210.979996,5997800,217.470001
2/16/21,213.080002,217.399994,212.330002,217.179993,217.179993,10171100,212.880005
2/17/21,215.520004,218.710007,212.679993,215.520004,215.520004,9276000,212.119995
2/18/21,213.449997,214.339996,208.080002,208.479996,208.479996,9121300,229.339996
2/19/21,209.970001,217.639999,209.149994,217.470001,217.470001,12415300,216.449997
2/22/21,211.889999,220.389999,210.800003,212.880005,212.880005,21413700,212.009995
2/23/21,214.149994,214.75,206.600006,212.119995,212.119995,15996700,224.389999
2/24/21,212.100006,229.610001,211.600006,229.339996,229.339996,30709300,223.139999
2/25/21,227.800003,228.5,214.710007,216.449997,216.449997,19283000,228.559998
2/26/21,218.509995,220.660004,211.289993,212.009995,212.009995,12811900,224.710007
3/1/21,219.600006,226.979996,219.020004,224.389999,224.389999,18709300,223.220001
3/2/21,224.789993,227.190002,222.149994,223.139999,223.139999,11094500,224.029999
3/3/21,226.360001,235.399994,225.039993,228.559998,228.559998,30362100,230.610001
3/4/21,232.729996,237.100006,218.699997,224.710007,224.710007,26556900,245.339996
3/5/21,229.009995,229.919998,213.800003,223.220001,223.220001,19983300,252
3/8/21,226.669998,229.889999,223.710007,224.029999,224.029999,13807100,269.190002
3/9/21,226.809998,234.059998,222.580002,230.610001,230.610001,20952300,265.630005
3/10/21,233.809998,246.800003,232.880005,245.339996,245.339996,27659800,255.210007
3/11/21,248.770004,256.649994,246.550003,252,252,30091800,263.589996
3/12/21,253.860001,269.720001,253.5,269.190002,269.190002,35209600,256.059998
3/15/21,274.149994,278.570007,264.329987,265.630005,265.630005,34816700,255.820007
3/16/21,263.230011,264.170013,254.020004,255.210007,255.210007,28599000,251.229996
3/17/21,254.699997,263.609985,253.679993,263.589996,263.589996,23529600,241.25
3/18/21,261.320007,267.369995,254.729996,256.059998,256.059998,24548000,239.240005
3/19/21,257.75,258.880005,251.309998,255.820007,255.820007,17254300,247.190002
3/22/21,255.820007,257.670013,250.160004,251.229996,251.229996,15230000,244.869995
3/23/21,249.259995,251.300003,239.429993,241.25,241.25,21358200,250.520004
3/24/21,243.75,248.800003,239.059998,239.240005,239.240005,24055100,252.009995
3/25/21,234.339996,247.580002,231.699997,247.190002,247.190002,27553600,254.720001
3/26/21,249.619995,250.899994,240.300003,244.869995,244.869995,17130700,252.960007
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
